"Date","Price","Open","High","Low","Change %"
"09/22/2023","77.604","77.604","77.604","77.604","0.93%"
"09/21/2023","76.892","76.892","76.892","76.892","-1.09%"
"09/20/2023","77.740","77.740","77.740","77.740","0.02%"
"09/19/2023","77.721","77.721","77.721","77.721","-1.41%"
"09/18/2023","78.829","78.829","78.829","78.829","0.19%"
"09/15/2023","78.678","78.678","78.678","78.678","-0.06%"
"09/14/2023","78.722","78.722","78.722","78.722","-0.73%"
"09/13/2023","79.305","79.305","79.305","79.305","0.01%"
"09/12/2023","79.301","79.301","79.301","79.301","-0.05%"
"09/11/2023","79.342","79.342","79.342","79.342","-0.05%"
"09/08/2023","79.380","79.380","79.380","79.380","0.08%"
"09/07/2023","79.316","79.316","79.316","79.316","1.08%"
"09/06/2023","78.468","78.468","78.468","78.468","0.23%"
"09/05/2023","78.289","78.289","78.289","78.289","-1.08%"
"09/01/2023","79.141","79.141","79.141","79.141","-1.38%"
"08/31/2023","80.248","80.248","80.248","80.248","-0.20%"
"08/30/2023","80.409","80.409","80.409","80.409","-0.73%"
"08/29/2023","80.997","80.997","80.997","80.997","1.73%"
"08/28/2023","79.618","79.618","79.618","79.618","0.36%"
"08/25/2023","79.333","79.333","79.333","79.333","0.40%"
"08/24/2023","79.019","79.019","79.019","79.019","-0.34%"
"08/23/2023","79.286","79.286","79.286","79.286","1.25%"
"08/22/2023","78.306","78.306","78.306","78.306","1.78%"
"08/21/2023","76.938","76.938","76.938","76.938","-0.62%"
"08/18/2023","77.415","77.415","77.415","77.415","-0.86%"
"08/17/2023","78.083","78.083","78.083","78.083","0.22%"
"08/16/2023","77.908","77.908","77.908","77.908","-0.36%"
"08/15/2023","78.190","78.190","78.190","78.190","-1.25%"
"08/14/2023","79.176","79.176","79.176","79.176","-0.89%"
"08/11/2023","79.886","79.886","79.886","79.886","-0.16%"
"08/10/2023","80.012","80.012","80.012","80.012","-1.39%"
"08/09/2023","81.136","81.136","81.136","81.136","1.92%"
"08/08/2023","79.608","79.608","79.608","79.608","-0.39%"
"08/07/2023","79.917","79.917","79.917","79.917","-0.60%"
"08/04/2023","80.397","80.397","80.397","80.397","1.20%"
"08/03/2023","79.447","79.447","79.447","79.447","-1.72%"
"08/02/2023","80.835","80.835","80.835","80.835","-0.79%"
"08/01/2023","81.479","81.479","81.479","81.479","-1.64%"
"07/31/2023","82.839","82.839","82.839","82.839","-0.20%"
"07/28/2023","83.002","83.002","83.002","83.002","0.24%"
"07/27/2023","82.806","82.806","82.806","82.806","-0.95%"
"07/26/2023","83.598","83.598","83.598","83.598","0.29%"
"07/25/2023","83.356","83.356","83.356","83.356","-0.30%"
"07/24/2023","83.610","83.610","83.610","83.610","0.14%"
"07/21/2023","83.493","83.493","83.493","83.493","0.13%"
"07/20/2023","83.384","83.384","83.384","83.384","-1.25%"
"07/19/2023","84.439","84.439","84.439","84.439","0.74%"
"07/18/2023","83.819","83.819","83.819","83.819","0.84%"
"07/17/2023","83.124","83.124","83.124","83.124","-0.45%"
"07/14/2023","83.497","83.497","83.497","83.497","-0.49%"
"07/13/2023","83.908","83.908","83.908","83.908","0.70%"
"07/12/2023","83.324","83.324","83.324","83.324","1.74%"
"07/11/2023","81.895","81.895","81.895","81.895","0.29%"
"07/10/2023","81.658","81.658","81.658","81.658","0.67%"
"07/07/2023","81.118","81.118","81.118","81.118","-0.29%"
"07/06/2023","81.353","81.353","81.353","81.353","-1.96%"
