"Date","Price","Open","High","Low","Change %"
"09/22/2023","109.280","108.674","109.518","108.641","0.63%"
"09/21/2023","108.596","109.441","109.652","108.538","-1.15%"
"09/20/2023","109.862","110.005","110.484","109.506","-0.12%"
"09/19/2023","109.994","110.218","110.273","109.636","-0.26%"
"09/18/2023","110.279","109.262","110.366","109.112","0.43%"
"09/15/2023","109.809","110.020","110.256","109.476","-0.07%"
"09/14/2023","109.888","110.730","110.812","109.707","-0.59%"
"09/13/2023","110.538","110.064","110.846","109.794","0.34%"
"09/12/2023","110.166","109.865","110.821","109.799","0.29%"
"09/11/2023","109.853","110.396","110.396","109.849","-0.68%"
"09/08/2023","110.603","110.883","111.069","110.507","-0.03%"
"09/07/2023","110.639","110.012","110.639","109.891","0.58%"
"09/06/2023","110.004","110.594","110.906","109.774","-0.55%"
"09/05/2023","110.615","110.615","110.615","110.615","-0.79%"
"09/01/2023","111.493","112.586","112.911","111.306","-1.00%"
"08/31/2023","112.616","111.852","112.827","111.791","0.67%"
"08/30/2023","111.867","111.519","111.973","111.189","0.27%"
"08/29/2023","111.569","111.273","112.185","110.887","0.31%"
"08/28/2023","111.224","110.690","111.779","110.630","0.30%"
"08/25/2023","110.888","110.677","111.000","110.315","0.12%"
"08/24/2023","110.756","111.255","111.413","110.739","-0.30%"
"08/23/2023","111.091","109.895","111.168","109.771","1.42%"
"08/22/2023","109.540","109.352","109.653","109.105","0.22%"
"08/21/2023","109.299","110.108","110.108","109.107","-0.82%"
"08/18/2023","110.207","109.993","110.511","109.791","0.44%"
"08/17/2023","109.720","109.970","110.041","109.368","-0.51%"
"08/16/2023","110.287","110.725","111.008","110.266","-0.59%"
"08/14/2023","110.942","111.348","111.625","110.647","-0.50%"
"08/11/2023","111.504","111.932","112.106","111.334","-0.39%"
"08/10/2023","111.944","112.948","113.454","111.944","-0.93%"
"08/09/2023","113.000","112.951","113.248","112.643","0.21%"
"08/08/2023","112.763","112.472","113.277","112.461","0.64%"
"08/07/2023","112.040","112.713","112.751","111.945","-0.66%"
"08/04/2023","112.787","111.325","112.832","110.854","1.51%"
"08/03/2023","111.109","112.018","112.018","110.876","-0.95%"
"08/02/2023","112.170","112.906","113.035","111.893","-0.59%"
"08/01/2023","112.834","113.806","113.948","112.649","-0.85%"
"07/31/2023","113.797","114.047","114.610","113.797","-0.43%"
"07/28/2023","114.287","114.036","114.402","113.549","0.33%"
"07/27/2023","113.914","115.334","115.467","113.665","-1.10%"
"07/26/2023","115.181","114.578","115.429","114.567","0.45%"
"07/25/2023","114.666","114.912","115.136","114.351","-0.08%"
"07/24/2023","114.753","115.226","115.833","114.737","-0.53%"
"07/21/2023","115.366","115.198","115.590","115.082","0.24%"
"07/20/2023","115.086","116.165","116.193","114.937","-1.05%"
"07/19/2023","116.309","115.770","116.426","115.665","0.57%"
"07/18/2023","115.655","115.512","116.180","115.489","0.20%"
"07/17/2023","115.421","115.554","116.064","115.375","-0.06%"
"07/14/2023","115.485","116.021","116.085","115.439","-0.46%"
"07/13/2023","116.014","114.925","116.101","114.811","0.96%"
"07/12/2023","114.916","113.217","114.997","113.167","1.60%"
"07/11/2023","113.107","113.507","114.046","113.056","-0.35%"
"07/10/2023","113.509","112.578","113.559","112.354","0.75%"
"07/07/2023","112.663","112.020","112.865","111.626","-0.98%"
"07/05/2023","113.775","115.053","115.283","113.606","-1.10%"
"07/04/2023","115.041","115.053","115.066","115.041","0.00%"
"07/03/2023","115.042","114.612","115.211","114.371","0.37%"
"06/30/2023","114.615","115.043","115.481","114.525","-0.44%"
"06/29/2023","115.122","115.657","115.698","114.193","-0.57%"
"06/28/2023","115.778","115.388","115.958","115.353","0.37%"
"06/27/2023","115.355","115.849","116.082","115.349","-0.48%"
"06/26/2023","115.915","115.781","116.247","115.642","0.28%"
"06/23/2023","115.597","115.116","116.162","115.053","0.45%"
"06/22/2023","115.079","115.896","115.972","114.671","-0.75%"
"06/21/2023","115.953","115.826","116.094","115.286","-0.08%"
"06/20/2023","116.044","115.122","116.143","114.431","1.41%"
"06/19/2023","114.431","115.122","115.122","114.431","-0.42%"
"06/16/2023","114.915","115.032","115.396","114.502","-0.37%"
"06/15/2023","115.338","114.014","115.377","113.678","0.99%"
"06/14/2023","114.202","114.312","114.742","113.826","0.11%"
"06/13/2023","114.078","115.249","115.541","114.050","-0.79%"
"06/12/2023","114.990","114.570","115.134","113.963","0.38%"
"06/09/2023","114.554","113.961","114.669","113.646","0.35%"
"06/08/2023","114.153","113.896","114.958","113.601","0.21%"
"06/07/2023","113.911","114.824","114.922","113.478","-0.70%"
"06/06/2023","114.711","115.673","116.088","114.344","-0.93%"
"06/05/2023","115.791","115.279","115.803","114.621","0.39%"
"06/02/2023","115.339","115.936","116.211","115.339","-0.97%"
"06/01/2023","116.467","115.265","116.538","114.917","0.97%"
"05/31/2023","115.345","115.553","115.950","115.310","-0.14%"
"05/30/2023","115.509","114.097","115.811","114.097","0.99%"
"05/29/2023","114.379","114.097","114.428","114.097","0.35%"
"05/26/2023","113.980","113.873","114.205","113.581","0.24%"
"05/25/2023","113.703","113.952","114.506","113.609","-0.23%"
"05/24/2023","113.967","115.049","115.234","113.944","-0.79%"
"05/23/2023","114.877","114.576","114.963","114.128","0.31%"
"05/22/2023","114.526","115.161","115.423","114.497","-0.43%"
"05/19/2023","115.024","115.291","115.553","114.584","-0.17%"
"05/18/2023","115.224","116.193","116.251","115.188","-0.67%"
"05/17/2023","115.996","116.641","116.818","115.902","-0.46%"
"05/16/2023","116.531","117.193","117.502","115.868","-0.40%"
"05/15/2023","116.994","117.749","117.905","116.870","-0.71%"
"05/12/2023","117.835","118.591","118.711","117.758","-0.58%"
"05/11/2023","118.522","118.005","118.944","117.844","0.18%"
"05/10/2023","118.314","117.481","118.381","117.259","0.88%"
"05/09/2023","117.287","117.105","117.574","116.914","-0.07%"
"05/08/2023","117.368","118.150","118.373","117.231","-0.75%"
"05/05/2023","118.255","118.831","118.844","117.814","-0.46%"
"05/04/2023","118.804","118.968","119.568","118.594","-0.27%"
"05/03/2023","119.127","118.787","119.497","118.536","0.33%"
"05/02/2023","118.735","116.932","118.886","116.762","1.71%"
"05/01/2023","116.740","118.409","118.543","116.498","-1.62%"
"04/28/2023","118.658","117.658","118.818","117.493","0.93%"
"04/27/2023","117.567","118.578","118.578","117.430","-0.71%"
"04/26/2023","118.409","118.924","119.202","118.326","-0.46%"
"04/25/2023","118.956","118.152","119.553","118.152","0.84%"
"04/24/2023","117.968","117.169","118.487","117.110","0.68%"
"04/21/2023","117.166","117.984","118.278","117.077","-0.67%"
"04/20/2023","117.960","116.836","118.002","116.812","0.91%"
"04/19/2023","116.900","117.011","117.071","116.432","-0.16%"
"04/18/2023","117.091","116.917","117.334","116.735","0.29%"
"04/17/2023","116.756","117.905","118.144","116.756","-1.10%"
"04/14/2023","118.050","118.857","119.025","117.870","-0.64%"
"04/13/2023","118.814","119.857","120.304","118.705","-0.97%"
"04/12/2023","119.978","119.067","120.015","118.802","0.79%"
"04/11/2023","119.039","118.414","119.942","118.203","0.72%"
"04/10/2023","118.192","120.369","120.369","117.951","-0.88%"
"04/07/2023","119.237","120.369","120.369","119.237","-0.94%"
"04/06/2023","120.364","119.556","120.584","119.539","0.73%"
"04/05/2023","119.496","118.943","119.855","118.848","0.32%"
"04/04/2023","119.117","118.951","120.442","118.356","0.04%"
"04/03/2023","119.075","117.871","119.075","117.559","0.55%"
"03/31/2023","118.421","117.573","118.651","117.376","0.53%"
"03/30/2023","117.799","116.776","117.864","116.575","0.84%"
"03/29/2023","116.815","116.679","117.369","116.300","0.08%"
"03/28/2023","116.719","116.591","117.129","116.046","0.35%"
"03/27/2023","116.316","117.620","117.831","116.080","-1.22%"
"03/24/2023","117.747","117.313","118.438","117.201","0.47%"
"03/23/2023","117.194","117.279","117.618","116.706","-0.24%"
"03/22/2023","117.480","115.600","117.659","115.055","1.71%"
"03/21/2023","115.503","116.312","116.770","115.421","-0.81%"
"03/20/2023","116.443","116.115","118.055","115.851","-0.18%"
"03/17/2023","116.647","115.035","117.194","114.996","1.51%"
"03/16/2023","114.910","116.119","117.326","114.841","-1.35%"
"03/15/2023","116.484","113.012","116.525","112.639","3.33%"
"03/14/2023","112.734","113.989","114.788","112.689","-1.22%"
"03/13/2023","114.127","112.332","116.399","112.238","0.23%"
"03/10/2023","113.863","112.332","114.123","112.238","1.85%"
"03/09/2023","111.795","111.934","112.707","111.548","-0.10%"
"03/08/2023","111.910","110.747","112.442","110.730","0.72%"
"03/07/2023","111.108","111.632","113.726","110.959","-0.43%"
"03/06/2023","111.593","111.842","112.378","111.381","-0.15%"
"03/03/2023","111.765","110.595","111.765","110.595","1.14%"
"03/02/2023","110.508","110.948","111.036","110.204","-0.65%"
"03/01/2023","111.234","111.759","112.070","111.084","-0.59%"
"02/28/2023","111.894","111.900","112.097","111.395","-0.02%"
"02/27/2023","111.918","112.545","112.908","111.851","-0.49%"
"02/24/2023","112.465","112.978","113.219","111.569","-0.29%"
"02/23/2023","112.795","112.296","113.139","111.883","0.45%"
"02/22/2023","112.287","111.854","112.494","111.557","0.54%"
"02/21/2023","111.687","114.267","114.267","111.552","-2.08%"
"02/20/2023","114.064","114.267","114.267","114.064","-0.18%"
"02/17/2023","114.273","113.120","114.551","112.809","0.78%"
"02/16/2023","113.392","113.988","114.154","113.097","-0.36%"
"02/15/2023","113.799","115.470","115.598","113.554","-1.32%"
"02/14/2023","115.325","114.723","115.397","113.825","0.53%"
"02/13/2023","114.719","114.138","114.731","114.063","0.48%"
"02/10/2023","114.174","115.025","115.101","114.076","-0.60%"
"02/09/2023","114.868","116.578","117.187","114.657","-1.60%"
"02/08/2023","116.732","115.932","116.732","115.401","0.97%"
"02/07/2023","115.616","116.185","116.393","115.492","-0.39%"
"02/06/2023","116.072","117.590","117.959","116.009","-1.73%"
"02/03/2023","118.112","121.429","121.486","117.895","-2.44%"
"02/02/2023","121.071","121.038","121.770","119.071","0.15%"
"02/01/2023","120.893","117.979","121.094","117.955","2.50%"
"01/31/2023","117.942","117.942","118.479","117.693","0.02%"
"01/30/2023","117.924","118.182","118.446","117.616","-0.32%"
"01/27/2023","118.305","117.949","118.439","117.451","0.18%"
"01/26/2023","118.095","119.202","119.226","118.082","-0.81%"
"01/25/2023","119.061","118.398","119.166","118.100","0.51%"
"01/24/2023","118.455","117.482","118.573","117.141","0.83%"
"01/23/2023","117.475","118.066","118.138","117.302","-0.42%"
"01/20/2023","117.967","118.738","118.865","117.761","-0.85%"
"01/19/2023","118.978","119.771","120.086","118.825","-0.41%"
"01/18/2023","119.472","118.647","119.842","118.404","1.38%"
"01/17/2023","117.843","118.262","118.284","117.410","0.00%"
"01/16/2023","117.845","118.262","118.262","117.792","-0.49%"
"01/13/2023","118.426","118.688","119.179","118.190","-0.42%"
"01/12/2023","118.927","118.103","119.195","117.424","0.96%"
"01/11/2023","117.791","117.124","117.914","117.087","0.83%"
"01/10/2023","116.821","117.556","117.692","116.379","-0.75%"
"01/09/2023","117.707","116.384","117.911","116.046","0.90%"
"01/06/2023","116.660","115.150","116.738","114.787","1.41%"
"01/05/2023","115.041","115.142","115.484","114.494","-0.28%"
"01/04/2023","115.362","114.859","115.627","114.852","0.39%"
"01/03/2023","114.910","114.106","115.271","113.933","0.70%"
"01/02/2023","114.106","114.106","114.106","114.106","0.47%"
"12/30/2022","113.569","113.756","114.041","112.903","-0.27%"
"12/29/2022","113.879","113.478","113.977","113.240","0.56%"
"12/28/2022","113.248","113.735","114.114","113.198","-0.34%"
"12/27/2022","113.640","115.176","115.360","113.567","-1.22%"
"12/23/2022","115.046","115.273","115.440","114.674","-0.30%"
"12/22/2022","115.390","116.446","116.732","115.373","-0.68%"
"12/21/2022","116.176","115.070","116.323","115.028","0.84%"
"12/20/2022","115.206","115.464","115.910","115.111","-1.31%"
"12/19/2022","116.734","117.872","117.939","116.667","-1.16%"
"12/16/2022","118.108","118.858","118.973","117.999","-0.98%"
"12/15/2022","119.274","118.602","119.641","118.466","0.37%"
"12/14/2022","118.834","118.884","119.217","118.224","0.07%"
"12/13/2022","118.755","118.013","119.822","117.927","0.78%"
"12/12/2022","117.835","117.835","118.722","117.467","0.06%"
"12/09/2022","117.767","118.904","118.974","117.384","-0.68%"
"12/08/2022","118.570","118.756","118.998","118.268","-0.39%"
"12/07/2022","119.035","117.606","119.212","117.606","0.98%"
"12/06/2022","117.876","117.428","118.146","117.133","0.42%"
"12/05/2022","117.384","117.284","117.605","116.441","-0.25%"
"12/02/2022","117.679","116.985","117.800","116.018","0.31%"
"12/01/2022","117.321","115.770","117.381","115.759","1.18%"
"11/30/2022","115.957","114.439","116.094","113.845","1.45%"
"11/29/2022","114.295","115.162","115.674","114.245","-0.93%"
"11/28/2022","115.363","116.501","117.282","114.938","-0.94%"
"11/25/2022","116.463","115.048","116.537","114.609","0.76%"
"11/24/2022","115.583","115.048","115.628","115.048","0.31%"
"11/23/2022","115.223","114.194","115.223","114.035","0.85%"
"11/22/2022","114.248","113.895","114.745","113.826","0.52%"
"11/21/2022","113.662","113.656","114.035","113.275","0.32%"
"11/18/2022","113.297","112.852","113.446","112.219","0.46%"
"11/17/2022","112.780","113.381","113.851","112.295","-0.66%"
"11/16/2022","113.531","112.051","113.703","111.612","1.20%"
"11/15/2022","112.187","111.077","112.383","111.034","0.87%"
"11/14/2022","111.221","112.879","112.879","110.591","-1.22%"
"11/11/2022","112.593","112.879","112.879","112.267","-0.45%"
