date,tenor,yield_to_maturity,instrument
1996-12-31,,0.0709 ,Emerging Markets High Yield Corporate Bond
1997-01-02,,0.0710 ,Emerging Markets High Yield Corporate Bond
1997-01-03,,0.0709 ,Emerging Markets High Yield Corporate Bond
1997-01-06,,0.0711 ,Emerging Markets High Yield Corporate Bond
1997-01-07,,0.0713 ,Emerging Markets High Yield Corporate Bond
1997-01-08,,0.0715 ,Emerging Markets High Yield Corporate Bond
1997-01-09,,0.0709 ,Emerging Markets High Yield Corporate Bond
1997-01-10,,0.0720 ,Emerging Markets High Yield Corporate Bond
1997-01-13,,0.0719 ,Emerging Markets High Yield Corporate Bond
1997-01-14,,0.0711 ,Emerging Markets High Yield Corporate Bond
1997-01-15,,0.0710 ,Emerging Markets High Yield Corporate Bond
1997-01-16,,0.0714 ,Emerging Markets High Yield Corporate Bond
1997-01-17,,0.0713 ,Emerging Markets High Yield Corporate Bond
1997-01-20,,0.0713 ,Emerging Markets High Yield Corporate Bond
1997-01-21,,0.0709 ,Emerging Markets High Yield Corporate Bond
1997-01-22,,0.0712 ,Emerging Markets High Yield Corporate Bond
1997-01-23,,0.0715 ,Emerging Markets High Yield Corporate Bond
1997-01-24,,0.0719 ,Emerging Markets High Yield Corporate Bond
1997-01-27,,0.0723 ,Emerging Markets High Yield Corporate Bond
1997-01-28,,0.0719 ,Emerging Markets High Yield Corporate Bond
1997-01-29,,0.0718 ,Emerging Markets High Yield Corporate Bond
1997-01-30,,0.0716 ,Emerging Markets High Yield Corporate Bond
1997-01-31,,0.0709 ,Emerging Markets High Yield Corporate Bond
1997-02-03,,0.0702 ,Emerging Markets High Yield Corporate Bond
1997-02-04,,0.0701 ,Emerging Markets High Yield Corporate Bond
1997-02-05,,0.0703 ,Emerging Markets High Yield Corporate Bond
1997-02-06,,0.0704 ,Emerging Markets High Yield Corporate Bond
1997-02-07,,0.0698 ,Emerging Markets High Yield Corporate Bond
1997-02-10,,0.0698 ,Emerging Markets High Yield Corporate Bond
1997-02-11,,0.0698 ,Emerging Markets High Yield Corporate Bond
1997-02-12,,0.0700 ,Emerging Markets High Yield Corporate Bond
1997-02-13,,0.0691 ,Emerging Markets High Yield Corporate Bond
1997-02-14,,0.0686 ,Emerging Markets High Yield Corporate Bond
1997-02-18,,0.0687 ,Emerging Markets High Yield Corporate Bond
1997-02-19,,0.0690 ,Emerging Markets High Yield Corporate Bond
1997-02-20,,0.0696 ,Emerging Markets High Yield Corporate Bond
1997-02-21,,0.0695 ,Emerging Markets High Yield Corporate Bond
1997-02-24,,0.0698 ,Emerging Markets High Yield Corporate Bond
1997-02-25,,0.0698 ,Emerging Markets High Yield Corporate Bond
1997-02-26,,0.0714 ,Emerging Markets High Yield Corporate Bond
1997-02-27,,0.0715 ,Emerging Markets High Yield Corporate Bond
1997-02-28,,0.0716 ,Emerging Markets High Yield Corporate Bond
1997-03-03,,0.0717 ,Emerging Markets High Yield Corporate Bond
1997-03-04,,0.0720 ,Emerging Markets High Yield Corporate Bond
1997-03-05,,0.0719 ,Emerging Markets High Yield Corporate Bond
1997-03-06,,0.0722 ,Emerging Markets High Yield Corporate Bond
1997-03-07,,0.0716 ,Emerging Markets High Yield Corporate Bond
1997-03-10,,0.0716 ,Emerging Markets High Yield Corporate Bond
1997-03-11,,0.0717 ,Emerging Markets High Yield Corporate Bond
1997-03-12,,0.0720 ,Emerging Markets High Yield Corporate Bond
1997-03-13,,0.0731 ,Emerging Markets High Yield Corporate Bond
1997-03-14,,0.0729 ,Emerging Markets High Yield Corporate Bond
1997-03-17,,0.0730 ,Emerging Markets High Yield Corporate Bond
1997-03-18,,0.0730 ,Emerging Markets High Yield Corporate Bond
1997-03-19,,0.0732 ,Emerging Markets High Yield Corporate Bond
1997-03-20,,0.0733 ,Emerging Markets High Yield Corporate Bond
1997-03-21,,0.0733 ,Emerging Markets High Yield Corporate Bond
1997-03-24,,0.0731 ,Emerging Markets High Yield Corporate Bond
1997-03-25,,0.0734 ,Emerging Markets High Yield Corporate Bond
1997-03-26,,0.0738 ,Emerging Markets High Yield Corporate Bond
1997-03-27,,0.0748 ,Emerging Markets High Yield Corporate Bond
1997-03-31,,0.0750 ,Emerging Markets High Yield Corporate Bond
1997-04-01,,0.0747 ,Emerging Markets High Yield Corporate Bond
1997-04-02,,0.0747 ,Emerging Markets High Yield Corporate Bond
1997-04-03,,0.0746 ,Emerging Markets High Yield Corporate Bond
1997-04-04,,0.0752 ,Emerging Markets High Yield Corporate Bond
1997-04-07,,0.0747 ,Emerging Markets High Yield Corporate Bond
1997-04-08,,0.0750 ,Emerging Markets High Yield Corporate Bond
1997-04-09,,0.0750 ,Emerging Markets High Yield Corporate Bond
1997-04-10,,0.0750 ,Emerging Markets High Yield Corporate Bond
1997-04-11,,0.0757 ,Emerging Markets High Yield Corporate Bond
1997-04-14,,0.0758 ,Emerging Markets High Yield Corporate Bond
1997-04-15,,0.0748 ,Emerging Markets High Yield Corporate Bond
1997-04-16,,0.0750 ,Emerging Markets High Yield Corporate Bond
1997-04-17,,0.0746 ,Emerging Markets High Yield Corporate Bond
1997-04-18,,0.0744 ,Emerging Markets High Yield Corporate Bond
1997-04-21,,0.0747 ,Emerging Markets High Yield Corporate Bond
1997-04-22,,0.0746 ,Emerging Markets High Yield Corporate Bond
1997-04-23,,0.0750 ,Emerging Markets High Yield Corporate Bond
1997-04-24,,0.0754 ,Emerging Markets High Yield Corporate Bond
1997-04-25,,0.0756 ,Emerging Markets High Yield Corporate Bond
1997-04-28,,0.0753 ,Emerging Markets High Yield Corporate Bond
1997-04-29,,0.0739 ,Emerging Markets High Yield Corporate Bond
1997-04-30,,0.0733 ,Emerging Markets High Yield Corporate Bond
1997-05-01,,0.0730 ,Emerging Markets High Yield Corporate Bond
1997-05-02,,0.0728 ,Emerging Markets High Yield Corporate Bond
1997-05-05,,0.0728 ,Emerging Markets High Yield Corporate Bond
1997-05-06,,0.0729 ,Emerging Markets High Yield Corporate Bond
1997-05-07,,0.0736 ,Emerging Markets High Yield Corporate Bond
1997-05-08,,0.0733 ,Emerging Markets High Yield Corporate Bond
1997-05-09,,0.0726 ,Emerging Markets High Yield Corporate Bond
1997-05-12,,0.0725 ,Emerging Markets High Yield Corporate Bond
1997-05-13,,0.0731 ,Emerging Markets High Yield Corporate Bond
