date,tenor,yield_to_maturity,instrument
2022-09-21,,5.21,Emerging Markets High Yield Corporate Bond
2022-09-22,,5.38,Emerging Markets High Yield Corporate Bond
2022-09-23,,5.44,Emerging Markets High Yield Corporate Bond
2022-09-26,,5.62,Emerging Markets High Yield Corporate Bond
2022-09-27,,5.75,Emerging Markets High Yield Corporate Bond
2022-09-28,,5.57,Emerging Markets High Yield Corporate Bond
2022-09-29,,5.67,Emerging Markets High Yield Corporate Bond
2022-09-30,,5.72,Emerging Markets High Yield Corporate Bond
2022-10-03,,5.58,Emerging Markets High Yield Corporate Bond
2022-10-04,,5.51,Emerging Markets High Yield Corporate Bond
2022-10-05,,5.61,Emerging Markets High Yield Corporate Bond
2022-10-06,,5.65,Emerging Markets High Yield Corporate Bond
2022-10-07,,5.73,Emerging Markets High Yield Corporate Bond
2022-10-10,,5.74,Emerging Markets High Yield Corporate Bond
2022-10-11,,5.83,Emerging Markets High Yield Corporate Bond
2022-10-12,,5.84,Emerging Markets High Yield Corporate Bond
2022-10-13,,5.94,Emerging Markets High Yield Corporate Bond
2022-10-14,,5.98,Emerging Markets High Yield Corporate Bond
2022-10-17,,5.97,Emerging Markets High Yield Corporate Bond
2022-10-18,,5.93,Emerging Markets High Yield Corporate Bond
2022-10-19,,6.06,Emerging Markets High Yield Corporate Bond
2022-10-20,,6.14,Emerging Markets High Yield Corporate Bond
2022-10-21,,6.13,Emerging Markets High Yield Corporate Bond
2022-10-24,,6.12,Emerging Markets High Yield Corporate Bond
2022-10-25,,6.0,Emerging Markets High Yield Corporate Bond
2022-10-26,,5.94,Emerging Markets High Yield Corporate Bond
2022-10-27,,5.85,Emerging Markets High Yield Corporate Bond
2022-10-28,,5.91,Emerging Markets High Yield Corporate Bond
2022-10-31,,5.98,Emerging Markets High Yield Corporate Bond
2022-11-01,,5.96,Emerging Markets High Yield Corporate Bond
2022-11-02,,5.97,Emerging Markets High Yield Corporate Bond
2022-11-03,,6.06,Emerging Markets High Yield Corporate Bond
2022-11-04,,6.06,Emerging Markets High Yield Corporate Bond
2022-11-07,,6.09,Emerging Markets High Yield Corporate Bond
2022-11-08,,6.01,Emerging Markets High Yield Corporate Bond
2022-11-09,,5.98,Emerging Markets High Yield Corporate Bond
2022-11-10,,5.68,Emerging Markets High Yield Corporate Bond
2022-11-11,,5.68,Emerging Markets High Yield Corporate Bond
2022-11-14,,5.67,Emerging Markets High Yield Corporate Bond
2022-11-15,,5.55,Emerging Markets High Yield Corporate Bond
2022-11-16,,5.48,Emerging Markets High Yield Corporate Bond
2022-11-17,,5.55,Emerging Markets High Yield Corporate Bond
2022-11-18,,5.57,Emerging Markets High Yield Corporate Bond
2022-11-21,,5.57,Emerging Markets High Yield Corporate Bond
2022-11-22,,5.51,Emerging Markets High Yield Corporate Bond
2022-11-23,,5.44,Emerging Markets High Yield Corporate Bond
2022-11-24,,5.44,Emerging Markets High Yield Corporate Bond
2022-11-25,,5.43,Emerging Markets High Yield Corporate Bond
2022-11-28,,5.42,Emerging Markets High Yield Corporate Bond
2022-11-29,,5.48,Emerging Markets High Yield Corporate Bond
2022-11-30,,5.39,Emerging Markets High Yield Corporate Bond
2022-12-01,,5.23,Emerging Markets High Yield Corporate Bond
2022-12-02,,5.2,Emerging Markets High Yield Corporate Bond
2022-12-05,,5.31,Emerging Markets High Yield Corporate Bond
2022-12-06,,5.25,Emerging Markets High Yield Corporate Bond
2022-12-07,,5.15,Emerging Markets High Yield Corporate Bond
2022-12-08,,5.19,Emerging Markets High Yield Corporate Bond
2022-12-09,,5.27,Emerging Markets High Yield Corporate Bond
2022-12-12,,5.28,Emerging Markets High Yield Corporate Bond
2022-12-13,,5.16,Emerging Markets High Yield Corporate Bond
2022-12-14,,5.14,Emerging Markets High Yield Corporate Bond
2022-12-15,,5.14,Emerging Markets High Yield Corporate Bond
2022-12-16,,5.18,Emerging Markets High Yield Corporate Bond
2022-12-19,,5.27,Emerging Markets High Yield Corporate Bond
2022-12-20,,5.35,Emerging Markets High Yield Corporate Bond
2022-12-21,,5.32,Emerging Markets High Yield Corporate Bond
2022-12-22,,5.33,Emerging Markets High Yield Corporate Bond
2022-12-23,,5.38,Emerging Markets High Yield Corporate Bond
2022-12-27,,5.47,Emerging Markets High Yield Corporate Bond
2022-12-28,,5.5,Emerging Markets High Yield Corporate Bond
2022-12-29,,5.46,Emerging Markets High Yield Corporate Bond
2022-12-30,,5.48,Emerging Markets High Yield Corporate Bond
2022-12-31,,5.49,Emerging Markets High Yield Corporate Bond
2023-01-03,,5.47,Emerging Markets High Yield Corporate Bond
2023-01-04,,5.39,Emerging Markets High Yield Corporate Bond
2023-01-05,,5.42,Emerging Markets High Yield Corporate Bond
2023-01-06,,5.26,Emerging Markets High Yield Corporate Bond
2023-01-09,,5.2,Emerging Markets High Yield Corporate Bond
2023-01-10,,5.25,Emerging Markets High Yield Corporate Bond
2023-01-11,,5.17,Emerging Markets High Yield Corporate Bond
2023-01-12,,5.05,Emerging Markets High Yield Corporate Bond
2023-01-13,,5.1,Emerging Markets High Yield Corporate Bond
2023-01-16,,5.1,Emerging Markets High Yield Corporate Bond
2023-01-17,,5.1,Emerging Markets High Yield Corporate Bond
2023-01-18,,4.95,Emerging Markets High Yield Corporate Bond
2023-01-19,,4.99,Emerging Markets High Yield Corporate Bond
2023-01-20,,5.06,Emerging Markets High Yield Corporate Bond
2023-01-23,,5.09,Emerging Markets High Yield Corporate Bond
2023-01-24,,5.03,Emerging Markets High Yield Corporate Bond
2023-01-25,,5.02,Emerging Markets High Yield Corporate Bond
2023-01-26,,5.04,Emerging Markets High Yield Corporate Bond
2023-01-27,,5.05,Emerging Markets High Yield Corporate Bond
2023-01-30,,5.09,Emerging Markets High Yield Corporate Bond
2023-01-31,,5.03,Emerging Markets High Yield Corporate Bond
2023-02-01,,4.94,Emerging Markets High Yield Corporate Bond
2023-02-02,,4.9,Emerging Markets High Yield Corporate Bond
2023-02-03,,5.04,Emerging Markets High Yield Corporate Bond
2023-02-06,,5.15,Emerging Markets High Yield Corporate Bond
2023-02-07,,5.17,Emerging Markets High Yield Corporate Bond
2023-02-08,,5.14,Emerging Markets High Yield Corporate Bond
2023-02-09,,5.21,Emerging Markets High Yield Corporate Bond
2023-02-10,,5.28,Emerging Markets High Yield Corporate Bond
2023-02-13,,5.28,Emerging Markets High Yield Corporate Bond
2023-02-14,,5.33,Emerging Markets High Yield Corporate Bond
2023-02-15,,5.36,Emerging Markets High Yield Corporate Bond
2023-02-16,,5.41,Emerging Markets High Yield Corporate Bond
2023-02-17,,5.4,Emerging Markets High Yield Corporate Bond
2023-02-20,,5.4,Emerging Markets High Yield Corporate Bond
2023-02-21,,5.54,Emerging Markets High Yield Corporate Bond
2023-02-22,,5.52,Emerging Markets High Yield Corporate Bond
2023-02-23,,5.48,Emerging Markets High Yield Corporate Bond
2023-02-24,,5.57,Emerging Markets High Yield Corporate Bond
2023-02-27,,5.55,Emerging Markets High Yield Corporate Bond
2023-02-28,,5.56,Emerging Markets High Yield Corporate Bond
2023-03-01,,5.65,Emerging Markets High Yield Corporate Bond
2023-03-02,,5.68,Emerging Markets High Yield Corporate Bond
2023-03-03,,5.58,Emerging Markets High Yield Corporate Bond
2023-03-06,,5.59,Emerging Markets High Yield Corporate Bond
2023-03-07,,5.63,Emerging Markets High Yield Corporate Bond
2023-03-08,,5.67,Emerging Markets High Yield Corporate Bond
2023-03-09,,5.61,Emerging Markets High Yield Corporate Bond
2023-03-10,,5.44,Emerging Markets High Yield Corporate Bond
2023-03-13,,5.33,Emerging Markets High Yield Corporate Bond
2023-03-14,,5.46,Emerging Markets High Yield Corporate Bond
2023-03-15,,5.39,Emerging Markets High Yield Corporate Bond
2023-03-16,,5.5,Emerging Markets High Yield Corporate Bond
2023-03-17,,5.34,Emerging Markets High Yield Corporate Bond
2023-03-20,,5.4,Emerging Markets High Yield Corporate Bond
2023-03-21,,5.43,Emerging Markets High Yield Corporate Bond
2023-03-22,,5.24,Emerging Markets High Yield Corporate Bond
2023-03-23,,5.18,Emerging Markets High Yield Corporate Bond
2023-03-24,,5.2,Emerging Markets High Yield Corporate Bond
2023-03-27,,5.33,Emerging Markets High Yield Corporate Bond
2023-03-28,,5.37,Emerging Markets High Yield Corporate Bond
2023-03-29,,5.37,Emerging Markets High Yield Corporate Bond
2023-03-30,,5.33,Emerging Markets High Yield Corporate Bond
2023-03-31,,5.24,Emerging Markets High Yield Corporate Bond
2023-04-03,,5.16,Emerging Markets High Yield Corporate Bond
2023-04-04,,5.08,Emerging Markets High Yield Corporate Bond
2023-04-05,,5.06,Emerging Markets High Yield Corporate Bond
2023-04-06,,5.06,Emerging Markets High Yield Corporate Bond
2023-04-10,,5.19,Emerging Markets High Yield Corporate Bond
2023-04-11,,5.18,Emerging Markets High Yield Corporate Bond
2023-04-12,,5.14,Emerging Markets High Yield Corporate Bond
2023-04-13,,5.16,Emerging Markets High Yield Corporate Bond
2023-04-14,,5.21,Emerging Markets High Yield Corporate Bond
2023-04-17,,5.28,Emerging Markets High Yield Corporate Bond
2023-04-18,,5.25,Emerging Markets High Yield Corporate Bond
2023-04-19,,5.28,Emerging Markets High Yield Corporate Bond
2023-04-20,,5.23,Emerging Markets High Yield Corporate Bond
2023-04-21,,5.25,Emerging Markets High Yield Corporate Bond
2023-04-24,,5.2,Emerging Markets High Yield Corporate Bond
2023-04-25,,5.07,Emerging Markets High Yield Corporate Bond
2023-04-26,,5.14,Emerging Markets High Yield Corporate Bond
2023-04-27,,5.22,Emerging Markets High Yield Corporate Bond
2023-04-28,,5.14,Emerging Markets High Yield Corporate Bond
2023-04-30,,5.15,Emerging Markets High Yield Corporate Bond
2023-05-01,,5.29,Emerging Markets High Yield Corporate Bond
2023-05-02,,5.17,Emerging Markets High Yield Corporate Bond
2023-05-03,,5.09,Emerging Markets High Yield Corporate Bond
2023-05-04,,5.13,Emerging Markets High Yield Corporate Bond
2023-05-05,,5.19,Emerging Markets High Yield Corporate Bond
2023-05-08,,5.28,Emerging Markets High Yield Corporate Bond
2023-05-09,,5.3,Emerging Markets High Yield Corporate Bond
2023-05-10,,5.2,Emerging Markets High Yield Corporate Bond
2023-05-11,,5.17,Emerging Markets High Yield Corporate Bond
2023-05-12,,5.23,Emerging Markets High Yield Corporate Bond
2023-05-15,,5.26,Emerging Markets High Yield Corporate Bond
2023-05-16,,5.32,Emerging Markets High Yield Corporate Bond
2023-05-17,,5.36,Emerging Markets High Yield Corporate Bond
2023-05-18,,5.44,Emerging Markets High Yield Corporate Bond
2023-05-19,,5.46,Emerging Markets High Yield Corporate Bond
2023-05-22,,5.47,Emerging Markets High Yield Corporate Bond
2023-05-23,,5.46,Emerging Markets High Yield Corporate Bond
