Risk Metric,Scenario Approach,Model Selection,Model Parameter,pnl
var,historical,full_revaluation^ytm,var_type^1^95,-9778.4
var,historical,full_revaluation^ytm,var_type^1^99,-13739.86
var,historical,full_revaluation^ytm,var_type^10^95,-12574.06
var,historical,full_revaluation^ytm,var_type^10^99,-18821.33
var,historical,full_revaluation^ytm,expected_shortfall^10^99,-20641.64
var,historical,full_revaluation^ytm,expected_shortfall^10^95,-16567.7
var,historical,sensitivity_approximation^ytm,var_type^10^95,-28719.71
var,historical,sensitivity_approximation^ytm,var_type^10^99,-42374.51
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^95,-46106.25
var,monte_carlo,sensitivity_approximation^ytm,var_type^10^99,-65504.14
stress_testing,financial_crisis_2008,full_revaluation^zero_curve,,-129107.14
stress_testing,oil_crisis_1974,full_revaluation^zero_curve,,-149679.07
